 	Mean1	Mean2	Mean3
192	968.657	973.489	1195.023
193	949.629	979.756	1146.500
194	906.829	1032.489	1122.932
195	913.171	1067.289	1106.227
196	864.257	1082.800	1060.295
197	814.200	1045.756	993.432
198	1033.771	1054.733	997.045
199	1948.257	1136.600	1077.114
200	2165.457	1139.933	1062.955
201	2075.286	1121.978	1059.614
202	2006.114	1130.289	980.409
203	2072.514	1106.089	961.909
204	2177.057	1081.889	959.977
205	2161.800	1084.556	953.432
206	2161.572	1090.822	965.568
207	2196.857	1110.178	995.750
208	2198.514	1133.111	1031.295
209	2119.371	1143.222	1022.432
210	1959.286	1142.067	1000.023
211	2336.314	1290.444	1133.636
212	2889.171	1339.444	1314.932
213	3048.029	1443.644	1314.614
214	3030.457	1578.467	1576.932
215	2617.314	1636.222	1741.932
216	3003.629	1429.400	1883.932
217	2874.657	1315.822	1853.545
218	2817.800	1312.022	1704.818
219	2771.257	1447.222	1673.841
220	2660.600	1475.022	1643.705
221	2528.057	1466.733	1573.545
222	2620.543	1474.467	1608.409
223	2347.314	1446.844	1483.727
224	2262.314	1385.889	1382.364
225	2082.143	1342.622	1333.250
226	1821.943	1301.978	1201.409
227	1568.257	1310.800	1057.795
228	1430.343	1290.711	1009.795
229	1510.086	1375.244	1077.864
230	1657.886	1570.889	1200.864
231	1580	1625.556	1186.364
232	1481.429	1630.556	1188.205
233	1345	1664.711	1130.750
234	1335.629	1564.844	1150.795
235	1375.829	1590.933	1220
236	1359.457	1663.667	1189.136
237	1431.714	1661.578	1280.977
238	1402.400	1696.244	1286.068
239	1373	1690.178	1283.864
240	1335.800	1803.733	1249.136
241	1272.229	1787.089	1191.114
242	1161.229	1709.667	1152.773
243	1066.914	1607.267	1044.659
244	984.314	1500.244	1010.432
245	931.257	1417.400	923.364
246	851.886	1317.778	889.386
247	790.229	1217.956	815.818
248	770.343	1168.489	790.909
249	769.543	1123.644	772.773
250	722.457	1104.111	784.636
251	724.800	1091.133	761.909
252	695.971	1087.022	773.136
253	707.400	1070.133	776.227
254	691.686	1075.511	756.705
255	705.057	1078.533	769.500
256	708.914	1083.044	775.614
257	714.343	1074.333	760.136
258	728.857	1081.289	767.386
259	841.429	1216.089	856.455
260	1151.371	1450.333	1148.455
261	1341.371	1436.267	1344.341
262	1273.114	1428.222	1403.750
263	1210	1385.756	1436.682
264	1076.600	1303.867	1310.318
265	990.914	1242.156	1223.295
266	949.857	1195.822	1125.568
267	891.943	1185.267	1056.023
268	909.886	1180.956	1091.636
269	914.086	1186.622	1161.159
270	948.886	1179.378	1141.955
271	966.514	1179.556	1104.159
272	916.743	1168.022	1063.455
273	913.486	1168.222	1123.227
274	986.143	1176.733	1161.636
275	1170.886	1239.422	1251.864
276	1215.571	1197.356	1208.955
277	1073.914	1156.244	1094.341
278	1004.457	1097.289	1029.409
279	922.600	1048.200	957.136
280	853.200	1053.578	913.818
281	802.771	1041.178	870.114
282	796.343	1005.422	866.591
283	789.657	1022.200	859.091
284	738.771	1031.822	812.705
285	762.114	1017.133	808.568
286	732.286	1027.111	804
287	702.857	1003.556	785.045
288	703.171	985.467	768.182
289	725.286	1007.467	789.750
290	884.800	1124.489	1292.114
291	963.886	1216.467	1705.455
292	1022.400	1247.533	2094.523
293	1081.914	1292.444	2174.682
294	1060.114	1334.889	2130.545
295	1163.343	1399.956	2270.136
296	1182.714	1433.889	2242.273
297	1147.914	1507.356	2261.477
298	1254.143	1907.200	1987.773
299	1452.514	1888.933	2403.682
300	1599.371	2001.400	2574.795
301	1647.714	2035.578	2568.636
302	1703.286	2001.178	2442.409
303	1603.971	1977.933	2282.182
304	1641.171	1939.133	2129.955
305	1814.171	1930.622	2169.432
306	1525.657	1730.800	2113.886
307	1286.057	1596.289	1933.250
308	1088.029	1407.267	1682.432
309	959.771	1318.689	1486.795
310	886.686	1240.933	1333.091
311	806.971	1217.067	1216.273
312	793.400	1183.222	1153.545
313	781.543	1134.667	1066.750
314	731.657	1097.333	1014.023
315	717.743	1066.467	953.568
316	714.771	1059.333	918.818
317	720.714	1043	876.477
318	693	1053.511	864.636
319	702.914	1043.600	844.682
320	809.286	1164.978	917.068
321	951.371	1498.578	1087.750
322	1042.057	1582.733	1191.705
323	1028.857	1533.200	1167.386
324	960.229	1446.733	1058.750
325	940.886	1419.267	1033.932
326	910.829	1356.067	990.545
327	906.886	1341.089	1003.318
328	900.571	1314.156	994.273
329	905.229	1310.622	1011.432
330	941.229	1311.756	1003.500
331	918.171	1293.778	1006.818
332	875.686	1215.111	974.795
333	850.600	1245.267	906.614
334	821.229	1183.600	868.295
335	793.971	1172.578	868.114
336	785.286	1108.844	862.795
