 	Mean1	Mean2	Mean3
870	808.257	1049.689	1074.500
871	833.514	1058.044	1111.341
872	804.771	1051.022	1113.432
873	804.457	1059.600	1180.045
874	785.629	1030.444	1234.159
875	833.400	1031.089	1366.114
876	869.543	1086.978	1480.295
877	938.686	1179.133	1805.318
878	929.086	1269.244	1812.432
879	897.571	1249.711	1725.273
880	823.314	1210.978	1653.636
881	806.714	1128.822	1588.273
882	846.171	1096.267	1471.795
883	881.343	1043.711	1343.568
884	847.714	993.711	1265.068
885	875.143	971.467	1179.909
886	858.200	970.400	1128.386
887	901.686	979.778	1090.023
888	881.657	963.911	1035.273
889	882.229	935.378	976.250
890	776.686	954.222	919.795
891	737	923.111	889.773
892	725.114	910.378	880.841
893	736.943	922.022	843.432
894	746.057	917.067	845.932
895	809.800	923.200	832.386
896	919.971	938.733	864.227
897	1197.857	1000.711	893.341
898	1250.571	1013.978	887.455
899	1193.571	1026.756	900.409
900	1167.886	1106.022	934.432
901	1174.229	1232.200	1038.341
902	1295.314	1278.133	1112.250
903	1285.343	1367.956	1143.750
904	1358.571	1350.200	1125.818
905	1232.714	1270.689	1041.114
906	1075.657	1184.444	991.114
907	1002.086	1154.289	963.227
908	959.886	1135.644	955.818
909	888.600	1064.667	956.545
910	965.686	1208.556	1050.386
911	1165.686	1315.044	1275.136
912	1329.029	1331.378	1573.500
913	1237.229	1286	1618.727
914	1124.914	1241.133	1404.659
915	978.171	1141.133	1205.045
916	865.629	1078.911	1088.682
917	842.543	1034.089	1028.432
918	789.971	1004.689	961
919	787.400	988.956	950.182
920	862.171	994.044	944.159
921	822.514	988.622	906.614
922	791.657	976.444	851.091
923	755.571	961.378	819.318
924	740.314	954.733	785.205
925	712.829	944.889	786.205
926	734.457	964.711	795.091
927	847.486	1008.533	839.091
928	1008.343	1039.178	870.273
929	959.486	1027.200	850.318
930	953.943	986.200	845.727
931	998.857	983.156	852.682
932	1038.029	1006.733	884.818
933	1010.486	1008.444	894.545
934	1026.343	1035.978	915.068
935	1231.600	1076	941.205
936	1310.200	1073.200	949
937	1434.343	1095.756	963.273
938	1505.486	1098.133	1004.159
939	1622.600	1113.356	989.864
940	1528.200	1074.978	934.659
941	1574.114	1048.267	929.500
942	1534.314	1007.511	1016.386
943	1358.200	988.178	964.045
944	1233.600	951.067	887.455
945	1268.857	943.756	939.909
946	1285.057	971.844	945.386
947	1156.400	951.556	919.023
948	1027.200	942.156	849.773
949	948.714	926.422	866.182
950	891.400	908	848.409
951	862.200	929.733	818.250
952	787.771	914.333	814.455
953	780.486	915.333	789.841
954	761.200	901.333	782.977
955	731.600	917.556	785.636
956	742.771	928.444	790.159
957	915.486	1067.267	913.273
958	1010.657	1223.689	1007.477
959	1030.057	1353.378	1047.636
960	1091.057	1305.178	1046.295
961	1106.514	1429.111	996.955
962	1077.029	1421.267	996.182
963	1180.571	1442.911	1032.614
964	1350.857	1402.889	1086.114
965	1449.600	1492.111	1155.023
966	1478.343	1526.489	1257.909
967	1518.686	1533.689	1259.500
968	1447.229	1495.044	1231.841
969	1336.086	1495.800	1190.523
970	1264.057	1467.044	1144.250
971	1132.143	1448.578	989.682
972	1197.543	1491.489	1052.409
973	1176.400	1414.956	1045.977
974	1011.971	1278.444	948.932
975	927.657	1227.711	866.705
976	865.371	1140.667	830.932
977	819.229	1107.844	812.273
978	789.229	1073.133	827.091
979	759.771	1074.800	841.818
980	753.400	1050.156	814
981	789.943	1066.889	847.818
982	741.114	1066.378	836.886
983	717.286	1062.356	822.386
984	715	1015	794.500
985	728.571	1040.267	788.205
986	693.571	1038.689	810.955
987	759.629	1054.067	833.205
988	830.629	1137.044	920.182
989	983.114	1191.022	1026.773
990	967.800	1169.333	1036.341
991	978.343	1161.267	1080.455
992	983.771	1202.867	1060.795
993	937.943	1137.356	1026.273
994	932.229	1150	1019.886
995	921.086	1188.422	1013.841
996	943.057	1187.489	996.205
997	903.286	1161.733	949.841
998	864.257	1100.511	913.705
999	849.486	1103.422	892.273
1000	831.229	1091.200	874.705
1001	827.286	1064.756	870.977
1002	830.743	1044.489	856.182
1003	813.029	1052.089	890.955
1004	865.029	1031.444	905.750
1005	867.314	1042.978	940.159
1006	820.971	1006.289	889.614
1007	779.686	982.778	868.341
1008	753.886	961.133	804.136
1009	724.514	939.600	805.205
1010	678.686	919.400	770.136
1011	688.686	903.356	770.636
1012	679.829	886.356	754
1013	672.543	898.022	761.432
1014	660.514	919.067	743.659
1015	695.857	917.778	734.705
1016	658.771	927.178	713.432
1017	712.314	916.156	723.955
1018	828.657	1003.644	885.273
1019	867.429	1053.311	981.364
1020	831.771	1031.533	939.295
1021	820.971	1011.844	943.341
1022	836.029	1034.356	958.455
1023	863.257	1076.667	981.500
1024	839.857	1034.844	962.955
1025	829.029	1007.578	974.250
1026	844.600	1075.733	1027.977
1027	831.857	1093	1011.386
1028	852.029	1090.844	1116.250
1029	865.200	1086.667	1170.477
1030	866.571	1079.311	1147.250
1031	892.171	1067.111	1107.955
1032	934	1125.311	1217.023
1033	1079.600	1186.711	1429.750
1034	1137.971	1117.311	1378.318
1035	1021.600	1065.556	1260.932
1036	951.400	1039.156	1122.477
1037	847.400	961.178	984.295
1038	809.629	954.311	955.545
1039	790.686	951.089	904.614
1040	734.600	947.778	866.227
1041	750.657	923.756	864.068
1042	705.257	925.889	846.455
1043	776	1085.956	855.568
1044	816.886	1107.311	899.886
1045	783.343	1078	875.250
1046	771.571	1049.689	868.045
1047	815.771	1051.578	877.886
1048	870.200	1160.422	921.227
1049	1087.514	1304.889	1012.182
1050	1103.171	1326.867	1053.318
1051	1090.229	1418.444	1117
1052	1062.943	1363.111	1097.205
1053	988.943	1300.356	1009.591
1054	924.429	1251.422	939
1055	908.771	1222.178	908.250
1056	889.486	1165.178	906.182
1057	872.629	1138.178	886.114
1058	860.057	1122.422	881.250
1059	815.686	1118.822	848.636
1060	795.400	1072.556	834.114
1061	793.543	1054.378	911.568
1062	822.886	1099.133	988.636
1063	919.743	1166.044	1102.068
1064	1074.686	1168.556	1104.409
1065	1087.143	1129.156	1026.091
1066	977.086	1083.822	920.568
1067	868.086	1012.511	861.091
1068	838.943	977.533	857.250
1069	789.400	975.756	834.750
1070	776.657	975.578	828.364
1071	766.086	961.378	811.545
1072	737.400	954.911	797.409
1073	742.857	940.444	775.068
1074	721.600	931.956	764.886
1075	688.257	932.578	747.523
1076	699.343	927.956	749.455
1077	698.771	946.022	737.886
1078	797.171	988.244	837.250
1079	1199	1197.756	977.364
1080	1261.571	1240.333	1020.705
1081	1198.029	1155.067	960.500
1082	1163.514	1179.933	921.318
1083	1119.857	1141.356	906.295
1084	1062.371	1159.689	948.682
1085	1109.857	1177.467	954.545
1086	1111.514	1193.889	952.614
1087	1078.429	1176.511	933.568
1088	1025.686	1161.022	918.500
1089	943.571	1120.778	883.068
1090	884.343	1076.467	843.205
1091	895.914	1065.422	872.955
1092	842.114	1034.289	847.432
1093	851.371	1066.667	866.932
1094	861.400	1074.289	937.568
1095	871.771	1063.422	909.727
1096	802.286	1017.333	851.114
1097	758.657	983.600	829.682
1098	750.314	970.422	808.409
1099	715.114	969.867	788.886
1100	714.943	984.067	776.068
1101	713.600	975.644	775
1102	696.086	976.111	781.432
1103	722.800	955	764.295
1104	705.657	954.889	792.955
1105	696.914	945	735.250
1106	680.971	932.667	743.432
1107	699.514	972.289	772.795
1108	750.857	999.378	781.364
1109	1161.543	1130.933	938.636
1110	1202.571	1116.200	915.386
1111	1132.857	1094.089	859.841
1112	1169.086	1056.889	854.182
1113	1212.486	1108.200	893.705
1114	1179.886	1135.578	898.659
1115	1267.914	1166.844	934.568
1116	1421.514	1179.356	964.750
1117	1604.057	1223.422	968.705
1118	1564.714	1179.067	928.773
1119	1506.286	1200.889	971.818
1120	1516.714	1222.489	975.045
1121	1467.429	1223.822	950.205
1122	1400.343	1184.067	926.682
1123	1485.171	1200.289	923.682
1124	1553.143	1207.778	1000.045
1125	1646.514	1193.356	1072.500
1126	1469.257	1091.511	931.295
1127	1308.686	1072.511	921.636
1128	1140.429	1004.844	867.818
1129	1087.714	1045.978	864.795
1130	1007.143	1010.622	859.795
1131	915.886	982.311	813.977
1132	893.400	980.733	811.409
1133	838.571	990.822	811.864
1134	785	995.667	832.114
1135	798.229	1015.289	866.250
1136	787.600	1025.533	862.455
1137	785.629	1054.933	817.250
1138	751.829	1020	820.886
1139	897.600	1116.911	894.705
1140	1158.229	1177.289	936.364
1141	1105.829	1176.311	880
1142	1061.543	1140.778	859.636
1143	1101.457	1145.733	874.591
1144	1128	1153.778	864.977
1145	1224.286	1175.867	938.386
1146	1388.914	1281.889	995.523
1147	1441.314	1334.800	990.205
1148	1334.543	1365.444	943.682
1149	1282.600	1269.244	889.273
1150	1185.086	1216.911	846.932
1151	1061.486	1144.467	839.045
1152	977.829	1127.889	808.227
1153	925.257	1135.044	825.432
1154	986.114	1176.711	897.341
1155	1060.314	1150.378	889.750
1156	1097.229	1101.489	833
1157	1029.343	1074.978	820.932
1158	948.314	1007.978	762.932
1159	941.771	1031.356	781.205
1160	946.057	987.267	777.705
1161	910.886	1030.667	787.114
1162	873.943	1005.311	818.205
1163	838	1012.111	829.273
1164	851.886	1035.867	874.159
1165	861.886	1154.578	918.705
1166	825.771	1223.911	864.932
1167	786.657	1275.267	856.705
1168	767.971	1199.244	808.955
1169	951.029	1363.622	923.045
1170	1170	1564.822	1052.136
1171	1120.571	1495.644	1002.295
1172	1061.857	1405.111	923.386
1173	1004.257	1314.844	912.295
1174	947.943	1227.111	851.136
1175	899.057	1165.667	912.273
1176	897.543	1146.756	928.136
1177	1125.943	1517.867	1009.045
1178	1111.829	1503.467	971.568
1179	1105.457	1609.756	954.727
1180	1020.371	1603.444	937.114
1181	1134.114	1682.444	972.614
1182	1120.229	1601.800	1010.795
1183	1252.829	1598.711	1132.477
1184	1229.514	1514.667	1146.091
1185	1254.571	1404.444	1233.477
1186	1140.457	1288.044	1140.500
1187	1004.200	1193.689	1019.318
1188	932.229	1126.956	978.386
1189	979.457	1110.222	956.659
1190	912.114	1074.889	900.909
1191	844.086	1038.378	896.341
1192	789	998.556	857.045
1193	781.657	1006.289	849.273
1194	717.343	958.800	818.318
1195	730.429	984.244	826.227
1196	752.400	1001.511	799.591
1197	728.343	1120.978	807.545
1198	709.171	1167.867	760.955
1199	701.314	1190.444	781.091
1200	784	1322.644	932.114
1201	782.086	1337.711	1014.227
1202	805.543	1476.356	1118.500
1203	768.629	1385.111	1122.273
1204	744.400	1308.689	1219.045
1205	755.286	1391.200	1284.909
1206	806.686	1423.533	1260.205
1207	820.829	1549.844	1276.568
1208	876.286	1577.311	1255.523
1209	906.029	1847.644	1274.591
1210	959.143	2091.645	1389.591
1211	955.229	2169.956	1451.341
1212	926.886	2144.022	1427.909
1213	919.514	2291.645	1414.955
1214	970.114	2154.667	1419.068
1215	1189.314	2336.444	1734.523
1216	1139.257	2175.355	1706.659
1217	1038.486	1894.178	1486.500
1218	927.257	1735.178	1349.432
1219	866.886	1588.689	1198.386
1220	820.400	1436.200	1107.409
1221	777.114	1380.978	1042.977
1222	765.800	1279.667	988.455
1223	772.771	1262.578	986.886
1224	763.971	1173.222	926.545
1225	687.943	1106.067	908.614
1226	710.629	1058.444	875.932
1227	692.029	1048	845.864
1228	689.829	1008.200	797.159
1229	684.657	983.778	782.705
1230	730.914	1048.644	830.795
1231	933.314	1740.022	1059.659
1232	945.143	1781.444	1391.477
1233	972.200	1640.022	1479.705
1234	925.029	1474.200	1328.477
1235	886.600	1472.956	1218.886
1236	895	1437.978	1187.023
1237	867.657	1340.178	1290.682
1238	823.200	1276.889	1263.182
1239	844.257	1257	1288.068
1240	858.086	1300.778	1339.773
1241	826.743	1197.289	1262.841
1242	794.914	1181.644	1154.114
1243	871.114	1468.422	1168.136
1244	948.686	1667.178	1305.727
1245	1095.200	1830.044	1469
1246	1250.371	1660.244	1454.068
1247	1101.600	1495.511	1323.341
1248	1017.914	1367.022	1215.409
1249	940.343	1220.378	1098.955
1250	834.971	1124.800	1005.682
1251	883	1101.956	1010.091
1252	915.200	1111.867	967.750
1253	900.314	1085.156	963.341
1254	867.571	1088.267	914.864
1255	829.600	1133.600	885.795
1256	795.857	1146.267	846.182
1257	747.057	1069.556	813.818
1258	726.686	1024.689	787.841
1259	712.429	987.400	770.795
1260	814.229	1025.867	815.841
1261	924.200	1072.889	841.636
1262	971.543	1055.711	855.091
1263	981.286	1116.533	956.682
1264	1074.171	1301.111	1079.295
1265	1163.257	1431.044	1235.295
1266	1131	1391.756	1166.068
1267	1033.943	1339.733	1088.386
1268	991.971	1296.444	1058.318
1269	969.657	1243.467	989.773
1270	909.914	1203.022	976.341
1271	880.371	1167.778	922.841
1272	882.629	1151.644	929.636
1273	906.343	1126.400	929.114
1274	916.686	1145.933	950.045
1275	915.743	1114.489	963.614
1276	971.629	1148.533	1108.659
1277	946.143	1126.133	1108.909
1278	939.229	1120.956	1144.386
1279	916.943	1129	1115.477
1280	884.571	1076.178	1096.386
1281	866.857	1070.756	1049.091
1282	857.457	997.511	1005.250
1283	820.286	972	948
1284	831.029	965.067	946.682
1285	819.829	950.622	1070.659
1286	760.657	939.067	1037.523
1287	739.171	931.667	1024.250
1288	724.857	914.511	957.068
1289	718.571	887.022	910.432
1290	756.429	926.311	864.341
1291	1082.029	1004	942.341
1292	1116.457	1033.089	928.114
1293	1093.714	1015.822	887.159
1294	1104.029	1019.778	872.455
1295	1190.114	1046.822	890
1296	1276.600	1085.533	927.932
1297	1770.600	1218.733	997.023
1298	2373.543	1231.533	1067.500
1299	2293.600	1300.467	1024.886
1300	2347.257	1340.778	1065.136
1301	2305.572	1293.467	1074.909
1302	2401.514	1355	1157.500
1303	2272.600	1524.133	1360.386
1304	2388	1581.822	1363
1305	2356.143	1518.867	1289.659
1306	2289.343	1557.511	1359.364
1307	2273.400	1472.622	1242.841
1308	2194	1382.289	1241.091
1309	1870.771	1227.156	1077.477
1310	1698.971	1190.978	1001.523
1311	1524.714	1209.644	937.159
1312	1327.400	1170.533	878.455
1313	1209.829	1126.844	838.773
1314	1042.714	1074.244	828.432
1315	1041.086	1083.600	794.273
1316	949.743	1050.133	783.341
1317	887.314	1053.867	774.409
1318	838.686	1063.511	778.432
1319	793.686	1047.156	783.886
1320	780.143	1055.089	777.977
1321	813.400	1128.689	821.455
1322	858.571	1213.489	872.977
1323	880.486	1244.956	877.205
1324	881.886	1234.244	859.205
1325	822.314	1229.378	820.795
1326	775.829	1160.689	795.341
1327	794.143	1157.489	806.455
1328	765.657	1147.289	776.068
1329	736.286	1087.422	780.591
1330	714.886	1072.356	767.727
1331	768.400	1057.911	776.068
1332	774.171	1060.311	785.977
1333	786.257	1037.333	774.841
1334	772.629	1025.844	770.750
1335	753.829	1004.778	774.455
1336	887.800	1131.956	937.045
1337	1208.057	1140.800	1070.386
1338	1234.943	1123.911	977.614
1339	1100.029	1050.533	898.886
1340	1102.514	970.600	890.227
1341	1012.857	920.711	831.409
1342	988.371	963.222	835.068
1343	927.029	946.622	814.182
1344	875.829	919.867	805.909
1345	836.857	908.067	787.977
1346	838.886	917.667	794.318
1347	797.914	970.911	805.455
1348	804.571	992.400	853.841
1349	791.571	930.800	855.455
1350	777.314	997.556	879.091
1351	1026.457	1161.689	1062.409
1352	1189.400	1279.311	1142.500
1353	1115.229	1256.222	1031.432
1354	1015.543	1232.400	962.386
1355	938.429	1173.289	888
1356	900	1145.156	861
1357	862.886	1095.956	803.636
1358	831.829	1121.289	830.545
1359	822.457	1084.356	832.750
1360	843.229	1042.578	803.932
1361	886.371	1003.111	807.750
1362	841.400	1026.333	786.068
1363	854.257	1047.711	837.227
1364	870.314	1081.133	869.477
1365	894.943	1126.089	876.545
1366	963.400	1130.089	932.386
1367	1059.200	1166.756	1050.750
1368	1005.514	1084.467	1010.818
1369	933	1000.956	903.205
1370	887.171	1005.044	878.705
1371	889.371	1026.444	874.455
1372	810.914	1054.444	839.477
1373	790.857	1056.578	826.614
1374	765.114	1071.800	798.023
1375	729.257	1065.933	803.477
1376	743.771	1030.044	800.636
1377	714.629	1011.111	769.318
1378	743.343	1073.756	793.659
1379	715.657	1042.022	791.841
1380	720.943	1026.311	770
1381	700.686	1016.067	775.682
1382	776.086	1030.067	977.659
1383	794	1034.511	1165.727
1384	792.029	1028.956	1175.432
1385	814.200	1054.244	1191.273
1386	842.343	1034.644	1285.977
1387	849.571	1047	1381.295
1388	817.143	1045.644	1313.523
1389	819.143	1053.667	1291.295
1390	835.857	1015	1237.364
1391	835.400	1053.067	1276.909
1392	830.429	1038.089	1295.545
1393	812.714	1047.422	1216.023
1394	823.486	1063.467	1175.227
1395	817.429	1051.044	1106.841
1396	824.971	1078.378	1089.182
1397	855.914	1125.156	1206.682
1398	821.086	1062.933	1104.341
1399	767.914	1013.111	994.795
1400	747.657	984.933	919.477
1401	725.486	953.933	879.045
1402	723.229	920.800	850
1403	701.971	932.356	816.432
1404	688.457	930.911	789.295
1405	680.143	908.356	777.523
1406	665	938.756	778.886
1407	687.600	928.711	783.750
1408	704.343	950.400	757.136
1409	703	971.244	779.932
1410	746.143	985.933	793.182
1411	735.743	992.978	777.909
1412	811.057	1124.311	879.659
1413	865.057	1195.689	956.864
1414	894.686	1202.356	934.705
1415	873.371	1186.867	931.727
1416	815.886	1136.489	902.727
1417	804.686	1112.333	860.750
1418	789	1080.467	850.568
1419	773.600	1034.378	830.068
1420	785.086	1024.911	816.955
1421	760.286	1032.422	822.409
1422	760.314	1047.422	841.023
1423	814.543	1072.444	858.750
1424	812.314	1069.067	869.886
1425	798.200	1051.822	848.205
1426	776.600	1028.222	847.864
1427	788.143	1056.622	930.977
1428	833.829	1042.711	937.977
1429	774.429	983.156	879.591
1430	712.371	946.089	811.727
1431	700.657	930.711	815.205
1432	684.543	918.156	766.023
1433	686.829	901.911	780.318
1434	682.571	898.733	738.205
1435	697.971	883.200	726.886
1436	676.114	874.511	734.705
1437	659.057	872.978	732.932
1438	646.457	875.667	719.886
1439	622.257	847.511	722.818
1440	630.086	862.133	710.091
1441	639	890.244	724.818
1442	724.200	958.400	765.159
1443	830.286	1044.378	849.068
1444	905.629	1063.533	865.386
1445	915.029	1126.333	917.818
1446	923.600	1116.378	895.273
1447	914.571	1077.400	857.386
1448	851.086	1075.600	847.864
1449	945.543	1117.533	904.364
1450	985.457	1131.133	950.477
1451	994.857	1137.844	931.909
1452	1011.457	1139.822	936.045
1453	1040.314	1154.778	929.205
1454	1030.143	1189.044	961.955
1455	1074.029	1205.889	969.864
1456	1008.429	1177.600	943.477
1457	1011.771	1201.267	982.318
1458	1032.743	1350.467	1044.614
1459	1078.400	1226.022	1063
1460	1035.943	1162.956	987.318
1461	962.229	1193.844	953.182
1462	891.571	1106.089	892.455
1463	829.171	1089.311	865.114
1464	847.257	1068.733	882.591
1465	813.114	1161.222	873.500
1466	793.486	1155.756	847.523
1467	784.686	1132.444	822
1468	742.086	1138.133	793.318
1469	787.943	1150.044	787.045
1470	768.771	1128.267	779.773
1471	743.486	1060.133	751.750
1472	773.314	1059.533	742.841
1473	1003.943	1144.756	839.136
1474	1013.229	1188.044	866.295
1475	986.314	1155.867	844.273
1476	961.886	1172.578	826.750
1477	900.429	1109.378	787.705
1478	832.571	1095.689	759.068
1479	856.343	1051.822	767.523
1480	841.914	1030.067	769.045
1481	908.571	1029.400	801.682
1482	1017.543	1050.089	826.159
1483	1133.371	1060.756	841.068
1484	1146.286	1055.467	867.523
1485	1154.286	1074.978	859.886
1486	1211.629	1042.867	845.659
1487	1206.457	1034	819.614
1488	1386.543	1073.267	911.977
1489	1720.343	1111.822	1155.273
1490	1769.200	1094.378	1200.250
1491	1623.886	1034.556	1122.159
1492	1528.371	1029.578	1053.636
1493	1437.486	1032.622	1010.409
1494	1289.829	1007.244	931.750
1495	1145.571	941.911	844.955
1496	1043.371	910.844	831.977
1497	946.400	918.889	811.545
1498	877	926.800	791.295
1499	848.971	904.511	774.045
1500	793.114	907.533	762.977
1501	783.829	885.644	723.841
1502	767.686	906.244	748.068
1503	824.200	998.422	791.568
1504	927.543	1276.244	822.045
1505	880.514	1241.178	811.841
1506	871.229	1211.333	834.068
1507	890.771	1210.644	865.273
1508	1101.800	1280.311	911.977
1509	1614.143	1457.933	1185.295
1510	1656.400	1412.711	1133.136
1511	1624.343	1364.356	1082.227
1512	1621.200	1281.644	1034.455
1513	1453.286	1224.556	960.205
1514	1441.743	1185.444	961.159
1515	1489.771	1170.133	972.932
1516	1595.571	1234.578	962.409
1517	1481.371	1173.089	911.364
1518	1696.314	1176.844	1054.159
1519	1995.114	1189.311	1199.886
1520	1796.200	1093.644	1094.705
1521	1644.657	1110.822	1043.727
1522	1471.571	1041.089	950.159
1523	1378.886	1047.356	936.545
1524	1379.829	1114.733	942.795
1525	1232.800	1111.867	931.295
1526	1148.600	1093.667	898.727
1527	1056.029	1049.644	877.318
1528	1060.171	1049.756	849.841
1529	1039.943	1001.956	876.795
1530	1007.057	1038.533	1012.205
1531	1031.886	1087.533	1025.409
1532	981.486	1098.778	952.386
1533	999.629	1239.556	981.659
1534	1123.257	1570.222	1103
1535	949.171	1400.422	1002.773
1536	881.200	1265.844	907.659
1537	997.314	1619.578	1048.341
1538	1322.743	2160.178	1150.636
1539	1220.629	2141.378	1084.159
1540	1187.657	2293.111	1088.523
1541	1185.543	2563.956	1045.545
1542	1083.200	2431.645	1012.023
1543	1024.086	2195.689	937.250
1544	993.829	2008.044	917.045
1545	942.371	1792.222	899
1546	884.057	1639.644	839.614
1547	849.200	1587.667	855
1548	896.686	1566.800	1064.545
1549	1237.771	1470.711	1273
1550	1270.229	1350.133	1269.159
1551	1141.600	1227.711	1079.318
1552	987.229	1186.756	1007.818
1553	926.429	1101.156	963.432
1554	861.371	1035.600	900.318
1555	818.943	991.467	877.682
1556	779.429	984.556	831.659
1557	738.914	936.733	793.045
1558	695.714	938.200	795.568
1559	687.143	926.422	762.636
1560	674.486	940.733	763.659
1561	687.171	913.311	769.295
1562	672.657	948.444	756.523
1563	697.800	955.089	745.114
1564	732.371	971.200	870.591
1565	736.543	1120.489	1106.977
1566	803.143	1320.422	1286.159
1567	788.229	1350.911	1315.705
1568	780.057	1275.133	1307.705
1569	773.400	1246.622	1333.432
1570	753.829	1242.667	1258.886
1571	741.286	1190.578	1154.250
1572	746.514	1161.844	1097.114
1573	727.057	1202.556	1056.409
1574	739.029	1200.711	1106.886
1575	821.029	1512.711	1242.295
1576	831.771	1580.200	1340.295
1577	846.657	1676.200	1306.114
1578	797.771	1518.444	1333.205
1579	793.229	1377.889	1374.409
1580	742.657	1297.400	1236.136
1581	760.200	1239.044	1182.841
1582	742.343	1180.822	1087.886
1583	706.029	1080.400	994.750
1584	678.229	1010.422	934.523
1585	699.343	958.867	904.159
1586	667.886	954.978	874.432
1587	693	934.778	867.045
1588	673.857	955.822	869.841
1589	665.229	945.756	807.795
1590	674.029	950.178	773.659
1591	660.771	941.022	798.909
1592	703.457	930.356	775.068
1593	723.171	946.778	784.364
1594	826.657	1048.156	806.023
1595	1041.543	1502.089	1069.795
1596	1038.943	1544.756	1170.477
1597	968.657	1508.111	1050.614
1598	900.429	1458.311	1047.318
1599	977.800	1734.956	1279.091
1600	1058.514	1884.933	1491.455
1601	1083.600	1791.111	1619.114
1602	1036.657	1647.356	1549.614
1603	995.143	1466.022	1594.955
1604	914.514	1363.867	1499.409
1605	893.886	1254.111	1451.318
1606	880.886	1302.733	1441.364
1607	877.114	1512.378	1418.432
1608	908.371	1513.267	1494.750
1609	978.429	1483.533	1686.159
1610	940.971	1371.733	1577.682
1611	875.114	1266.600	1407.864
1612	803.657	1175.289	1257.386
1613	779.257	1129.289	1148.091
1614	723.914	1056.844	1054.705
1615	711.514	997.556	964.114
1616	683.743	979.711	946.045
1617	667.714	958.733	896.841
1618	665.543	936.111	884.841
1619	713.971	947.933	851.136
1620	708.314	936.867	820.068
1621	682.714	958.644	816.227
1622	692.543	961.356	825
1623	688.714	941.689	780.364
1624	762.543	982.111	834.545
1625	1005.086	1107.578	910.455
1626	1054	1121.311	923.250
1627	991.143	1119.400	907.318
1628	1052.429	1101.067	905.841
1629	1077.143	1168.600	955
1630	1035.857	1133.044	947.545
1631	956.800	1124.133	921.477
1632	913.371	1085.489	873.273
1633	822.343	1042.200	828.909
1634	845.800	1002.267	827.591
1635	832.857	1008.867	811.886
1636	852.229	1014.511	854.136
1637	1044.886	1076.556	906.955
1638	1067.971	1022.756	874
1639	1106.457	1026.267	859.432
1640	970.457	1034.089	818.477
1641	923.886	998.644	844.818
1642	888.543	945.311	844.205
1643	940.057	941.333	848.409
1644	871	930.622	819.909
1645	871.800	943.156	824.636
1646	853.086	990.556	877.432
1647	821.114	1406.667	915.659
1648	779.200	1817.467	933.523
1649	787.171	1995.200	980.341
1650	767.743	1879.778	994.636
1651	705.286	1649.400	884.705
1652	710.429	1509.578	869.068
1653	704.657	1454.689	930.500
1654	750.029	1434.711	910.500
1655	1082.829	1404.800	952.750
1656	1247.571	1415.133	965.841
1657	1311.400	1356.244	924.182
1658	1275.029	1293.644	906.568
1659	1528.943	1307.911	930.977
1660	1542.743	1292.800	929.795
1661	1525.057	1312.511	962.068
1662	1529	1274.956	953.682
1663	1755.029	1256.956	1020.568
1664	1783.086	1260.511	1042.432
1665	1750.514	1347.489	1018.545
1666	1780.429	1415.867	1070.682
1667	1736.800	1422.911	1060.205
1668	1681.371	1372.111	1042.477
1669	1592.571	1322.489	1149
1670	1741.943	1579.089	1450.636
1671	1743.171	1498.200	1232.568
1672	1565.743	1344.133	1214.477
1673	1441.857	1294.044	1163.545
1674	1189.200	1251.289	1007.273
1675	1095.486	1185.644	911.523
1676	1016.886	1122.844	920.136
1677	944.057	1136.600	868.250
1678	831.600	1088.222	796.932
1679	792.771	1060.578	762.977
1680	770.914	1018.578	763.432
1681	738.286	981.778	754.818
1682	711.057	945.244	734.568
1683	685.543	920.978	712.159
1684	667.257	912.733	717.864
1685	753.143	995.467	780.750
1686	811.714	1075.489	825.068
1687	800.229	1126.667	845.977
1688	793.971	1069.733	795.068
1689	744.457	1023.800	730.409
1690	700.657	994.956	708.023
1691	715.143	987.200	738.409
1692	702	983.733	737.841
1693	717.229	966.689	726.045
1694	766.143	996.200	781.386
1695	786.886	986.222	793.818
1696	775.229	979.444	776.182
1697	817.114	967.467	770.227
1698	814.629	943.467	740.773
1699	801.571	938.222	756.841
1700	806.943	961.244	750.568
1701	858.714	965.444	835.227
1702	914.229	942.733	776.955
1703	833.571	897.733	780.477
1704	757.086	897.489	752.500
1705	734.600	867.911	728
1706	702.886	854.933	748.182
1707	695.343	862.733	736.568
1708	760.486	861.356	770.432
1709	768.286	861.156	718.136
1710	752.286	866.244	754.182
1711	775.943	864.089	713.091
1712	744.057	862.800	721.750
1713	717.057	845.178	716.136
1714	746.229	845.756	754.727
1715	774.029	938.489	783.409
1716	888.714	979.511	887.523
1717	953.057	987.111	898.455
1718	938.743	963.489	902
1719	914.686	955.889	880.182
1720	984.800	991.311	1016.364
1721	953.800	1003.933	1076.659
1722	947.257	994.378	1140.114
1723	933.771	944.467	1063.545
1724	865.486	927.689	1006.932
1725	918.857	954.156	1129.273
1726	883.457	987.400	1169.523
1727	864.743	975.756	1107.341
1728	847.057	979.533	1142.455
1729	817.400	969.089	1115.364
1730	940.314	988.422	1214.955
1731	1074.286	991.911	1264.318
1732	1114.429	945.422	1147.409
1733	1044.029	890.667	1018.386
1734	931.971	868.822	961.273
1735	838.771	877.400	914.386
1736	815.629	856.422	892.023
1737	762.657	863.689	842.341
1738	743.629	848.644	813.386
1739	708.400	835.200	776.205
1740	706.943	848.289	827.886
1741	826.171	921.956	854.455
